army,type,unit,u_suffix,s_type,s_count,speed,melee,range,defense,attack,nerve,rules,options,points
Abyssal Dwarves,Infantry,Black Souls,,Troop,10,4,4,-,5,10,10/12,,"2H(CS(1), -1DE) (Mutated Throwing Mastiff (+15)",80
Abyssal Dwarves,Infantry,Black Souls,,Regiment,20,4,4,-,5,12,14/16,,"2H(CS(1), -1DE) (Mutated Throwing Mastiff (+15)",115
Abyssal Dwarves,Infantry,Black Souls,,Horde,40,4,4,-,5,25,21/23,,"2H(CS(1), -1DE) (Mutated Throwing Mastiff (+15)",190
Abyssal Dwarves,Infantry,Immortal Guard,,Troop,10,4,3,-,5,10,-/13,,"2H(CS(1), -1DE)  (Mutated Throwing Mastiff (+15)",90
Abyssal Dwarves,Infantry,Immortal Guard,,Regiment,20,4,3,-,5,12,-/17,,"2H(CS(1), -1DE)  (Mutated Throwing Mastiff (+15)",130
Abyssal Dwarves,Infantry,Decimators,,Troop,10,4,5,*,4,10,10/12,"Breath(Att), Piercing (1)",,120
Abyssal Dwarves,Infantry,Decimators,,Regiment,20,4,5,*,4,12,14/16,"Breath(Att), Piercing (1)",,160
Abyssal Dwarves,Infantry,Decimators,,Horde,40,4,5,*,4,25,21/23,"Breath(Att), Piercing (1)",,255
Abyssal Dwarves,Infantry,Abyssal Berserkers,,Troop,10,5,4,-,3,20,-/13,CS(1),,125
Abyssal Dwarves,Infantry,Abyssal Berserkers,,Regiment,20,5,4,-,3,25,-/17,CS(1),,180
Abyssal Dwarves,Infantry,Slave Orcs*,,Troop,10,5,4,-,4,10,9/11,"CS(1), Yellow-Bellied, 25x25mm Base Size, not Vicious",,65
Abyssal Dwarves,Infantry,Slave Orcs*,,Regiment,20,5,4,-,4,12,13/15,"CS(1), Yellow-Bellied, 25x25mm Base Size, not Vicious",,90
Abyssal Dwarves,Infantry,Slave Orcs*,,Horde,40,5,4,-,4,25,20/22,"CS(1), Yellow-Bellied, 25x25mm Base Size, not Vicious",,150
Abyssal Dwarves,Infantry,Gargoyles*,,Troop,10,10,4,-,3,8,9/11,"Fly, Regeneration (3+), Base Size 25x25mm",,80
Abyssal Dwarves,Large Infantry,Lesser Obsidian Golems,,Regiment,3,5,4,-,6,9,-/14,"CS(2), Shambling, 50x50mm Base Size, Height 3",,135
Abyssal Dwarves,Large Infantry,Lesser Obsidian Golems,,Horde,6,5,4,-,6,18,-/17,"CS(2), Shambling, 50x50mm Base Size, Height 3",,210
Abyssal Dwarves,Large Cavalry,Abyssal Grotesques,,Regiment,3,7,4,-,5,9,12/14,"CS(2), TC(1), Regeneration(5+), Brutal",,165
Abyssal Dwarves,Large Cavalry,Abyssal Grotesques,,Horde,6,7,4,-,5,18,16/18,"CS(2), TC(1), Regeneration(5+), Brutal",,250
Abyssal Dwarves,Cavalry,Abyssal Halfbreeds,,Troop,5,8,3,-,4,8,11/13,"CS(1), TC(1) Regeneration (5+)",,125
Abyssal Dwarves,Cavalry,Abyssal Halfbreeds,,Regiment,10,8,3,-,4,16,14/16,"CS(1), TC(1), Regeneration (5+)",,195
Abyssal Dwarves,Cavalry,Slave Orc Gore Riders*,,Troop,5,8,4,-,4,8,9/11,"CS(1), TC(1), Yellow-Bellied, not Vicious",,85
Abyssal Dwarves,Cavalry,Slave Orc Gore Riders*,,Regiment,10,8,4,-,4,16,12/14,"CS(1), TC(1), Yellow-Bellied, not Vicious",,130
Abyssal Dwarves,War Engine,G'rog Mortar,,War Engine,1,4,-,5,5,1,10/12,"Blast (D6+2), Piercing(2), Indirect",,100
Abyssal Dwarves,War Engine,Katsuchan Rocket Launcher,,War Engine,1,4,-,5,5,3,10/12,"Blast (D3), Piercing(1), Indirect, Reload!",,85
Abyssal Dwarves,War Engine,Angkor Heavy Mortar,,War Engine,1,4,-,5,5,1,10/12,"Blast (D6+4), Piercing(3), Indirect",,120
Abyssal Dwarves,War Engine,Dragon' Fire-Team,,War Engine,1,4,-,-,4,*,10/12,"Individual, Breath Attack(10)",,50
Abyssal Dwarves,Monster,Greater Obsidian Golem,,Monster,1,5,4,-,6,8,-/18,"CS(3), Shambling",,160
Abyssal Dwarves,Infantry,Overmaster,,Hero,1,4,3,-,6,5,13/15,"CS(1), Individual, Inspiring",,120
Abyssal Dwarves,Infantry,Iron-caster,,Hero,1,4,4,-,5,2,11/13,"CS(1), Individual, Inspiring(War Engines only), Heal(3)(War Engines, Golems, Immortal Guard), Breath (6)",(+20 LightningBolt(3))(+15 Surge(8)),105
Abyssal Dwarves,Infantry,Slavedriver (ASB),,Hero,1,4,5,-,5,1,10/12,"Individual, Inspiring",,50
Abyssal Dwarves,Cavalry,Abyssal Halfbreed Champion,,Hero,1,8,3,-,5,6,12/14,"CS(3), Individual, Inspiring, Regeneration (5+)",,160
Abyssal Dwarves,Large Cavalry,Abyssal Grotesque Champion,,Hero,1,7,3,-,5,5,12/14,"CS(2), TC(1), Regeneration(5+), Brutal",,140
Abyssal Dwarves,Monster,Overmaster on Great Abyssal Dragon,,Hero,1,10,3,-,5,8,17/19,"CS(3), Breath Attack(10), Fly, Inspiring",,280
Abyssal Dwarves,Monster,Supreme Iron-caster on Great Winged Abyssal,,Hero,1,10,4,-,5,5,15/17,"CS(2), Fly, Inspiring, Heal(4)(War Engines, Golems, Immortal Guard), Breath(10)",(+20 LightningBolt(3))(+20 Surge(10)),190
Abyssal Dwarves,Cavalry,Brakki Barka[1],,Living Legend,1,8,3,-,5,6,13/15,"CS(3), Individual, Regeneration (5+), Bhardoom!",,200
Abyssal Dwarves,Infantry,Ba'su'su the Vile[1],,Living Legend,1,10,3,-,5,8,15/17,"CS(2), Fly, Individual, Inspiring(Gargoyles Only), Regeneration (5+). 25x25mm base",Vile Spawn,220
Dwarves,Infantry,Ironclad,,Troop,10,4,4,-,5,10,10/12,,(Dwarven Throwing Mastiff (+10),75
Dwarves,Infantry,Ironclad,,Regiment,20,4,4,-,5,12,14/16,,(Dwarven Throwing Mastiff (+10),110
Dwarves,Infantry,Ironclad,,Horde,40,4,4,-,5,25,21/23,,(Dwarven Throwing Mastiff (+10),180
Dwarves,Infantry,Ironguard,,Troop,10,4,3,-,6,10,11/13,,"2H(CS(1), -1DE), (Dwarven Throwing Mastiff (+10)",110
Dwarves,Infantry,Ironguard,,Regiment,20,4,3,-,6,12,15/17,,"2H(CS(1), -1DE), (Dwarven Throwing Mastiff (+10)",160
Dwarves,Infantry,Shieldbreakers,,Troop,10,4,4,-,4,10,10/12,CS(2),(Dwarven Throwing Mastiff (+10),90
Dwarves,Infantry,Shieldbreakers,,Regiment,20,4,4,-,4,12,14/16,CS(2),(Dwarven Throwing Mastiff (+10),130
Dwarves,Infantry,Shieldbreakers,,Horde,40,4,4,-,4,25,21/23,CS(2),(Dwarven Throwing Mastiff (+10),215
Dwarves,Infantry,Ironwatch Crossbows,,Troop,10,4,5,5,4,8,10/12,"Crossbows, Piercing(1), Reload!",,100
Dwarves,Infantry,Ironwatch Crossbows,,Regiment,20,4,5,5,4,10,14/16,"Crossbows, Piercing(1), Reload!",,135
Dwarves,Infantry,Ironwatch Crossbows,,Horde,40,4,5,5,4,20,21/23,"Crossbows, Piercing(1), Reload!",,225
Dwarves,Infantry,Ironwatch Rifles,,Troop,10,4,5,5,4,8,10/12,"Rifles, Piercing(2), Reload!",,115
Dwarves,Infantry,Ironwatch Rifles,,Regiment,20,4,5,5,4,10,14/16,"Rifles, Piercing(2), Reload!",,155
Dwarves,Infantry,Ironwatch Rifles,,Horde,40,4,5,5,4,20,21/23,"Rifles, Piercing(2), Reload!",,255
Dwarves,Infantry,Rangers,,Troop,10,5,4,4,4,10,10/12,"Light Crossbows, CS(1), Vanguard, Pathfinder",(Dwarven Throwing Mastiff (+10),135
Dwarves,Infantry,Rangers,,Regiment,20,5,4,4,4,12,14/16,"Light Crossbows, CS(1), Vanguard, Pathfinder",(Dwarven Throwing Mastiff (+10),180
Dwarves,Infantry,Bulwarkers,,Troop,10,4,4,-,5,10,10/12,Phalanx,(Dwarven Throwing Mastiff (+10),105
Dwarves,Infantry,Bulwarkers,,Regiment,20,4,4,-,5,15,14/16,Phalanx,(Dwarven Throwing Mastiff (+10),150
Dwarves,Infantry,Bulwarkers,,Horde,40,4,4,-,5,30,21/23,Phalanx,(Dwarven Throwing Mastiff (+10),250
Dwarves,Infantry,Sharpshooters,,Troop,5,4,5,4,5,5,9/11,"Long Barrelled Rifles, Piercing(2) Reload!",,90
Dwarves,Infantry,Berserkers,,Troop,10,5,4,-,3,20,-/16,"Long Barrelled Rifles, Piercing(2) Reload!",,125
Dwarves,Infantry,Berserkers,,Regiment,20,5,4,-,3,25,-/22,"Long Barrelled Rifles, Piercing(2) Reload!",,180
Dwarves,Large Infantry,Earth Elementals,,Regiment,3,5,4,-,6,9,-/14,"CS(1), Shambling, Pathfinder",,130
Dwarves,Large Infantry,Earth Elementals,,Horde,6,5,4,-,6,18,-/17,"CS(1), Shambling, Pathfinder",,200
Dwarves,Cavalry,Berserker Brock Riders,,Troop,5,8,4,-,4,13,-/16,"Vicious, TC(1)",,135
Dwarves,Cavalry,Berserker Brock Riders,,Regiment,10,8,4,-,4,26,-/22,"Vicious, TC(1)",,210
Dwarves,War Engine,Ironbelcher Cannon,,War Engine,1,4,-,5,5,1,10/12,"Reload!, Blast (D6+2), Piercing(4), (While within 6"" of a Warsmith, the unit has Blast (D6+3) instead)","Blast (D6+3) while within 6"" of a warsmith",110
Dwarves,War Engine,Flame Belcher,,War Engine,1,4,-,-,5,*,10/12,Breath Attack(18),"Elite while within 6"" of a warsmith",85
Dwarves,War Engine,Ironbelcher Organ Gun,,War Engine,1,4,-,5,5,15,10/12,"Reload!, Range 24"", Piercing (2)","Elite while within 6"" of a warsmith",85
